order_id,order_date,customer_id,order_status,product_id,quantity,price_per_unit
1,02-09-2021,500,Completed,27,1,8000
2,19-12-2023,520,Cancelled,128,1,45000
4,23-04-2020,230,Completed,125,1,100000
5,29-09-2020,203,Completed,72,1,16000
6,16-09-2020,220,Completed,123,2,40000
7,01-11-2020,50,Completed,186,1,70000
8,06-11-2020,20,Completed,158,1,70000
9,13-10-2023,412,Completed,139,1,95000
10,05-02-2021,102,Completed,140,1,75000
11,17-11-2020,65,Completed,13,2,30000
12,13-03-2023,540,Completed,47,1,8000
13,05-09-2022,15,Returned,27,3,8000
14,28-12-2020,150,Completed,108,1,100000
15,20-11-2022,321,Inprogress,35,1,40000
16,21-10-2023,297,Completed,143,1,50000
17,13-03-2022,265,Completed,66,1,2500
18,06-01-2024,102,Returned,71,1,10000
19,01-09-2021,402,Completed,128,1,45000
20,28-10-2020,115,Completed,179,1,90000
21,03-01-2022,546,Completed,113,1,90000
22,29-10-2021,397,Completed,194,1,15000
23,19-04-2023,400,Completed,32,1,700
24,09-07-2022,548,Completed,38,1,1500
25,05-10-2023,412,Completed,238,1,30000
26,16-07-2023,544,Completed,225,1,10000
27,03-07-2022,384,Completed,95,1,35000
28,28-04-2023,484,Completed,111,1,100000
29,16-07-2021,529,Completed,209,1,80000
30,06-02-2020,175,Completed,169,3,25000
31,09-11-2022,520,Completed,232,1,1200
32,25-06-2021,521,Completed,128,1,45000
33,12-02-2020,168,Completed,118,1,25000
34,07-04-2021,191,Completed,163,1,90000
35,03-05-2021,563,Completed,31,1,20000
36,10-04-2023,379,Completed,153,1,50000
37,30-11-2023,102,Returned,100,1,75000
38,05-01-2021,248,Returned,228,1,30000
39,20-06-2021,534,Completed,185,1,20000
40,25-02-2021,103,Completed,189,1,120000
41,19-09-2020,180,Completed,35,1,40000
42,03-08-2020,71,Completed,146,1,45000
43,22-11-2022,289,Completed,33,1,10000
44,05-02-2022,476,Completed,35,1,40000
45,14-05-2022,386,Completed,87,3,1500
46,27-10-2023,363,Completed,108,1,100000
47,03-12-2021,358,Completed,94,1,35000
49,21-12-2020,152,Completed,157,1,95000
50,07-09-2023,507,Completed,182,1,25000
51,23-04-2022,358,Completed,47,1,8000
52,18-09-2023,451,Completed,92,1,1500
53,23-04-2022,431,Inprogress,188,1,65000
54,31-03-2023,102,Returned,41,3,2500
55,20-06-2023,375,Completed,254,1,35000
56,11-04-2021,8,Completed,2,1,3000
57,29-04-2021,490,Returned,39,2,500
58,05-07-2021,498,Completed,247,1,15000
59,01-07-2021,489,Completed,67,1,20000
60,05-08-2023,548,Completed,59,1,8000
61,22-11-2023,321,Completed,66,1,2500
62,22-05-2021,491,Completed,56,1,3000
63,10-10-2022,348,Completed,190,1,2500
64,04-04-2022,316,Completed,68,1,12000
65,07-02-2020,247,Cancelled,125,1,100000
66,19-02-2022,445,Completed,189,1,120000
67,01-10-2022,353,Completed,141,1,85000
68,15-03-2023,405,Completed,133,1,95000
69,06-09-2021,342,Completed,120,1,15000
70,17-12-2022,285,Completed,178,3,65000
71,16-09-2020,168,Completed,240,1,30000
72,14-05-2020,216,Completed,183,1,40000
73,24-09-2021,462,Completed,10,3,15000
74,20-06-2020,111,Completed,95,1,35000
75,22-09-2022,279,Completed,128,1,45000
76,12-06-2023,513,Completed,3,1,25000
77,02-12-2022,435,Completed,203,1,25000
78,17-06-2020,93,Completed,162,1,35000
79,13-05-2021,552,Completed,89,1,10000
80,18-08-2023,518,Completed,86,1,1200
81,13-11-2020,89,Completed,27,1,8000
82,02-10-2020,134,Completed,108,1,100000
83,20-04-2021,520,Completed,121,1,120000
84,13-04-2023,458,Completed,53,1,1000
85,04-06-2022,519,Returned,49,3,12000
86,21-02-2023,427,Completed,145,1,60000
87,14-10-2023,297,Completed,43,1,20000
88,17-05-2021,532,Completed,186,1,70000
89,19-01-2023,272,Completed,182,1,25000
90,20-12-2021,419,Completed,181,1,150000
91,23-11-2023,364,Completed,67,1,20000
92,05-11-2022,455,Completed,93,1,3000
93,03-01-2022,339,Completed,122,1,200000
94,09-02-2024,503,Completed,144,1,65000
96,27-06-2021,503,Returned,233,1,300
97,13-04-2022,286,Completed,182,1,25000
98,29-05-2021,512,Completed,12,1,15000
99,14-10-2023,102,Returned,181,1,150000
100,11-07-2023,423,Completed,54,1,1200
101,07-01-2020,129,Completed,134,1,20000
102,24-01-2024,421,Completed,226,1,30000
103,12-07-2020,98,Completed,107,1,60000
104,02-05-2022,398,Completed,204,1,35000
105,07-05-2022,543,Completed,106,1,40000
106,05-11-2022,481,Completed,241,1,45000
107,13-05-2021,566,Completed,53,1,1000
108,23-06-2020,83,Returned,180,1,70000
109,06-01-2024,555,Completed,37,1,25000
110,03-06-2022,339,Completed,251,1,3000
111,04-02-2023,413,Completed,186,3,70000
112,04-11-2023,552,Completed,75,1,8000
113,27-10-2023,414,Completed,127,1,1500
114,25-04-2023,102,Returned,32,1,700
115,17-11-2022,292,Completed,82,1,2000
116,02-01-2024,102,Returned,181,1,150000
117,07-08-2020,44,Completed,102,1,65000
118,08-04-2022,368,Completed,184,1,40000
119,19-11-2023,343,Completed,133,1,95000
120,27-05-2023,102,Returned,106,2,40000
121,14-08-2021,364,Completed,208,1,10000
122,14-04-2022,500,Completed,244,1,80000
123,25-11-2022,508,Completed,247,1,15000
124,03-11-2020,190,Completed,141,1,85000
127,05-12-2021,337,Completed,125,1,100000
128,25-02-2022,444,Completed,180,1,70000
129,19-01-2024,527,Completed,150,1,80000
130,31-03-2023,468,Completed,6,1,500
131,04-03-2023,76,Returned,228,1,30000
132,03-06-2020,67,Completed,49,1,12000
133,25-01-2024,378,Completed,148,1,35000
134,21-05-2023,503,Completed,251,1,3000
135,01-03-2021,106,Returned,246,1,1000
136,14-01-2024,339,Completed,147,1,60000
137,07-03-2023,383,Completed,122,1,200000
138,27-10-2022,51,Returned,192,1,150000
139,16-09-2021,310,Completed,3,3,25000
140,23-01-2024,347,Completed,87,1,1500
141,29-12-2021,435,Returned,204,1,35000
142,16-09-2020,94,Returned,159,1,30000
143,02-12-2023,282,Completed,220,3,1000
144,14-01-2022,464,Completed,2,1,3000
145,10-02-2021,73,Completed,87,1,1500
146,20-07-2023,57,Returned,234,1,2500
147,18-11-2020,94,Completed,2,1,3000
148,10-02-2021,30,Returned,207,1,15000
149,23-04-2023,531,Completed,213,1,1200
150,11-07-2020,72,Returned,157,1,95000
151,20-11-2020,181,Completed,183,1,40000
152,18-10-2021,555,Returned,4,1,40000
153,02-04-2020,42,Completed,195,1,80000
154,08-08-2021,417,Completed,193,1,85000
155,10-04-2021,173,Completed,38,1,1500
156,19-06-2020,170,Completed,168,1,50000
157,26-02-2023,396,Completed,21,1,12000
158,29-06-2021,551,Completed,125,1,100000
159,09-10-2020,110,Inprogress,184,1,40000
160,28-09-2022,370,Completed,68,3,12000
161,05-06-2020,115,Returned,37,2,25000
162,19-02-2023,331,Completed,79,1,5000
163,04-06-2022,397,Completed,178,1,65000
164,03-09-2023,102,Returned,174,1,25000
165,01-03-2020,177,Completed,201,1,70000
166,08-01-2023,410,Completed,3,1,25000
167,22-11-2023,510,Completed,147,1,60000
168,23-09-2023,276,Completed,122,1,200000
169,28-01-2024,322,Completed,178,1,65000
170,16-04-2021,495,Completed,119,2,10000
171,16-12-2023,102,Returned,107,1,60000
172,23-02-2023,265,Completed,97,1,100000
173,23-10-2023,398,Completed,250,3,15000
174,01-06-2021,505,Completed,31,1,20000
175,16-05-2023,540,Completed,161,1,35000
176,16-04-2021,561,Completed,227,1,35000
177,07-09-2020,104,Completed,166,1,150000
178,07-01-2022,307,Completed,184,1,40000
179,14-05-2023,102,Returned,213,3,1200
180,22-03-2021,211,Returned,249,1,8000
181,18-09-2020,43,Completed,187,1,65000
182,17-04-2022,266,Completed,66,1,2500
183,12-03-2021,124,Completed,174,1,25000
184,20-11-2022,26,Returned,65,1,8000
185,10-05-2023,283,Completed,56,1,3000
186,19-05-2021,564,Returned,119,1,10000
187,15-08-2023,535,Completed,66,2,2500
